Date,Time,Event,Ticker,Period,Actual,Prior,Surv(M),Surv(A),# Ests.,Surprise,Std Dev,C
01/16/13,22:00,Net Long-term TIC Flows,FRNTTOTL Index,Nov,$52.3b,$1.3b,$25.0b,$20.10b,5,1.63,16.7,US
01/16/13,22:15,Industrial Production MoM,IP CHNG Index,Dec,0.30%,1.10%,0.30%,0.26%,85,0,0.16,US
01/16/13,22:15,Capacity Utilization,CPTICHNG Index,Dec,78.80%,78.40%,78.50%,78.53%,65,2.06,0.15,US
01/16/13,22:15,Manufacturing (SIC) Production,IPMGCHNG Index,Dec,0.80%,1.10%,0.50%,0.52%,11,2.37,0.13,US
01/16/13,23:00,NAHB Housing Market Index,USHBMIDX Index,Jan,47,47,48,48,49,-1.28,0.78,US
01/17/13,3:00,U.S. Federal Reserve Releases Beige Book,,,,,,,,,,US
01/17/13,21:30,Housing Starts,NHSPSTOT Index,Dec,954k,861k,890k,887.29k,84,5.02,12.84,US
01/17/13,21:30,Housing Starts MoM,NHCHSTCH Index,Dec,12.10%,-3.00%,3.30%,3.05%,84,5.9,1.49,US
01/17/13,21:30,Building Permits,NHSPATOT Index,Dec,903k,899k,905k,903.43k,54,-0.1,14.31,US
01/17/13,21:30,Building Permits MoM,NHCHATCH Index,Dec,0.30%,3.60%,0.50%,0.38%,54,-0.13,1.59,US
01/17/13,21:30,Initial Jobless Claims,INJCJC Index,Jan-12,335k,371k,369k,366.18k,50,-4.62,7.36,US
01/17/13,21:30,Continuing Claims,INJCSP Index,Jan-05,3214k,3109k,3155k,3152.69k,16,1.26,47.28,US
01/17/13,22:45,Bloomberg Economic Expectations,COMFBTWR Index,Jan,-7,0,--,--,0,--,--,US
01/17/13,22:45,Bloomberg Consumer Comfort,COMFCOMF Index,Jan-13,-35.5,-34.4,--,--,0,--,--,US
01/17/13,23:00,Philadelphia Fed Business Outlook,OUTFGAF Index,Jan,-5.8,8.1,5.6,5.92,58,-4.06,2.81,US
01/18/13,22:55,U. of Mich. Sentiment,CONSSENT Index,Jan P,71.3,72.9,75,75.11,74,-1.81,2.04,US
01/22/13,21:30,Chicago Fed Nat Activity Index,CFNAI Index,Dec,0.02,0.1,--,--,1,--,--,US
01/22/13,23:00,Richmond Fed Manufact. Index,RCHSINDX Index,Jan,-12,5,5,5.13,8,-5.13,3.22,US
01/22/13,23:00,Existing Home Sales,ETSLTOTL Index,Dec,4.94m,5.04m,5.10m,5.09m,79,-2.24,0.07,US
01/22/13,23:00,Existing Home Sales MoM,ETSLMOM Index,Dec,-1.00%,5.90%,1.20%,1.09%,79,-1.54,1.42,US
01/23/13,20:00,MBA Mortgage Applications,MBAVCHNG Index,Jan-18,7.00%,15.20%,--,--,0,--,--,US
01/23/13,22:00,FHFA House Price Index MoM,HPIMMOM% Index,Nov,0.60%,0.50%,0.70%,0.66%,15,-0.77,0.13,US
01/23/13,22:45,Revision of Chicago Purchasing Managers Index,,,,,,,,,,US
01/23/13,23:00,IMF Releases World Economic Outlook Update,,,,,,,,,,US
01/24/13,21:30,Initial Jobless Claims,INJCJC Index,Jan-19,330k,335k,355k,354.61k,49,-1.92,13.02,US
01/24/13,21:30,Continuing Claims,INJCSP Index,Jan-12,3157k,3214k,3200k,3174.33k,15,-0.98,44.08,US
01/24/13,21:58,Markit US Manufacturing PMI,MPMIUSMA Index,Jan P,--,--,53,53.11,15,--,0.82,US
01/24/13,22:45,Bloomberg Consumer Comfort,COMFCOMF Index,Jan-20,-36.4,-35.5,--,--,0,--,--,US
01/24/13,23:00,Conference Board Revisions of Leading Indicators,,,,,,,,,,US
01/24/13,23:00,Leading Index,LEI CHNG Index,Dec,0.50%,-0.20%,0.40%,0.41%,48,0.66,0.15,US
01/25/13,0:00,Kansas City Fed Manf. Activity,KCLSSACI Index,Jan,-2,-2,1,1,4,-1.03,2.92,US
01/25/13,0:00,Revisions of the Kansas City Manufacturing Activity,,,,,,,,,,US
01/25/13,23:00,New Home Sales,NHSLTOT Index,Dec,369k,377k,385k,386.08k,77,-1.71,9.33,US
01/25/13,23:00,New Home Sales MoM,NHSLCHNG Index,Dec,-7.30%,4.40%,2.10%,2.41%,77,-3.81,2.47,US
01/28/13,21:30,Durable Goods Orders,DGNOCHNG Index,Dec,4.60%,0.70%,2.00%,1.97%,76,2.67,0.97,US
01/28/13,21:30,Durables Ex Transportation,DGNOXTCH Index,Dec,1.30%,1.60%,0.80%,0.62%,50,0.72,0.76,US
01/28/13,21:30,Cap Goods Orders Nondef Ex Air,CGNOXAI% Index,Dec,0.20%,2.70%,-0.20%,-0.33%,14,0.39,1.03,US
01/28/13,21:30,Cap Goods Ship Nondef Ex Air,CGSHXAI% Index,Dec,0.30%,1.80%,0.80%,0.90%,4,-0.7,0.64,US
01/28/13,23:00,Pending Home Sales MoM,USPHTMOM Index,Dec,-4.30%,1.70%,0.00%,0.04%,37,-2.39,1.8,US
01/28/13,23:00,Pending Home Sales NSA YoY,USPHTYOY Index,Dec,4.90%,8.90%,11.50%,12.23%,6,-2.61,2.53,US
01/28/13,23:00,ISM Releases 2013 Seasonal Adjustments,,,,,,,,,,US
01/28/13,23:30,Dallas Fed Manf. Activity,DFEDGBA Index,Jan,5.5,6.8,4,4,5,0.9,1.67,US
01/29/13,22:00,S&P CoreLogic CS 20-City MoM SA,SPCS20SM Index,Nov,0.63%,0.66%,0.70%,0.63%,24,-0.41,0.17,US
01/29/13,22:00,S&P CoreLogic CS 20-City YoY NSA,SPCS20Y% Index,Nov,5.52%,4.31%,5.55%,5.49%,30,-0.06,0.48,US
01/29/13,22:00,S&P CoreLogic CS 20-City NSA Index,SPCS20 Index,Nov,145.82,146.08,145.94,146.07,4,-0.2,0.6,US
01/29/13,23:00,Conf. Board Consumer Confidence,CONCCONF Index,Jan,58.6,65.1,64,64.43,73,-2.64,2.04,US
01/30/13,20:00,MBA Mortgage Applications,MBAVCHNG Index,Jan-25,-8.10%,7.00%,--,--,0,--,--,US
01/30/13,21:15,ADP Employment Change,ADP CHNG Index,Jan,192k,215k,165k,167.95k,38,1.11,24.22,US
01/30/13,21:30,GDP Annualized QoQ,GDP CQOQ Index,4Q A,-0.10%,3.10%,1.10%,1.15%,83,-3.14,0.38,US
01/30/13,21:30,Personal Consumption,GDPCTOT% Index,4Q A,2.20%,1.60%,2.10%,2.00%,27,0.26,0.38,US
01/30/13,21:30,GDP Price Index,GDP PIQQ Index,4Q A,0.60%,2.70%,1.50%,1.42%,38,-1.94,0.44,US
01/30/13,21:30,Core PCE QoQ,GDPCPCEC Index,4Q A,0.90%,1.10%,0.90%,0.98%,22,-0.05,0.19,US
01/31/13,3:15,FOMC Rate Decision (Upper Bound),FDTR Index,Jan-30,0.25%,0.25%,0.25%,0.25%,40,--,0,US
01/31/13,20:30,Challenger Job Cuts YoY,CHALYOY% Index,Jan,-24.40%,-22.10%,--,--,0,--,--,US
01/31/13,20:30,RBC Consumer Outlook Index,ICSHNATL Index,Feb,49.5,48,--,--,0,--,--,US
01/31/13,21:30,Employment Cost Index,ECI SA% Index,4Q,0.50%,0.40%,0.50%,0.48%,45,0,0.1,US
01/31/13,21:30,Personal Income,PITLCHNG Index,Dec,2.60%,0.60%,0.80%,1.18%,73,1.99,0.91,US
01/31/13,21:30,Personal Spending,PCE CRCH Index,Dec,0.20%,0.40%,0.30%,0.27%,72,-0.81,0.12,US
01/31/13,21:30,PCE Deflator MoM,PCE DEFM Index,Dec,0.00%,-0.20%,0.00%,0.01%,29,0,0.03,US
01/31/13,21:30,PCE Deflator YoY,PCE DEFY Index,Dec,1.30%,1.40%,1.40%,1.36%,20,-0.86,0.12,US
01/31/13,21:30,PCE Core Deflator MoM,PCE CMOM Index,Dec,0.00%,0.00%,0.10%,0.08%,51,-1.83,0.05,US
01/31/13,21:30,PCE Core Deflator YoY,PCE CYOY Index,Dec,1.40%,1.50%,1.40%,1.41%,30,0,0.07,US
01/31/13,21:30,Initial Jobless Claims,INJCJC Index,Jan-26,368k,330k,350k,356.92k,51,1.16,15.58,US
01/31/13,21:30,Continuing Claims,INJCSP Index,Jan-19,3197k,3157k,3171k,3177.27k,11,0.81,32.18,US
01/31/13,22:00,ISM Milwaukee,MAPMINDX Index,Jan,51.3,52.2,52,50.33,3,-0.23,3.09,US
01/31/13,22:45,MNI Chicago PMI,CHPMINDX Index,Jan,55.6,51.6,50.5,50.54,48,5.27,0.97,US
01/31/13,22:45,Bloomberg Consumer Comfort,COMFCOMF Index,Jan-27,-37.5,-36.4,--,--,0,--,--,US
02/01/13,21:30,U.S. DOL Establishment Employment Survey Annual Revisions,,,,,,,,,,US
02/01/13,21:30,Change in Nonfarm Payrolls,NFP TCH Index,Jan,157k,155k,165k,164.11k,90,-0.38,21.32,US
02/01/13,21:30,Change in Private Payrolls,NFP PCH Index,Jan,166k,168k,168k,170.32k,47,-0.09,21.97,US
02/01/13,21:30,Change in Manufact. Payrolls,USMMMNCH Index,Jan,4k,25k,10k,10.37k,27,-0.7,8.54,US
02/01/13,21:30,Unemployment Rate,USURTOT Index,Jan,7.90%,7.80%,7.80%,7.77%,86,1.76,0.06,US
02/01/13,21:30,Average Hourly Earnings MoM,AHE MOM% Index,Jan,0.20%,0.30%,0.10%,0.15%,53,1.02,0.07,US
02/01/13,21:30,Average Hourly Earnings YoY,AHE YOY% Index,Jan,2.10%,2.10%,2.10%,2.06%,10,0.24,0.08,US
02/01/13,21:30,Average Weekly Hours All Employees,AWH TOTL Index,Jan,34.4,34.5,34.5,34.49,40,-2.19,0.05,US
02/01/13,21:30,Change in Household Employment,USEMNCHG Index,Jan,17,28,--,--,0,--,--,US
02/01/13,21:30,Underemployment Rate,USUDMAER Index,Jan,14.40%,14.40%,--,--,0,--,--,US
02/01/13,21:58,Markit US Manufacturing PMI,MPMIUSMA Index,Jan F,--,--,55.3,55.09,8,--,1.26,US
02/01/13,22:55,U. of Mich. Sentiment,CONSSENT Index,Jan F,73.8,71.3,71.5,71.43,62,2.87,0.8,US
02/01/13,23:00,Construction Spending MoM,CNSTTMOM Index,Dec,0.90%,-0.30%,0.70%,0.71%,47,0.55,0.36,US
02/01/13,23:00,ISM Manufacturing,NAPMPMI Index,Jan,53.1,50.7,50.7,50.62,86,3.52,0.7,US
02/01/13,23:00,ISM Prices Paid,NAPMPRIC Index,Jan,56.5,55.5,56,55.77,17,0.42,1.2,US
02/02/13,6:00,Wards Total Vehicle Sales,SAARTOTL Index,Jan,15.23m,15.30m,15.20m,15.19m,43,0.22,0.14,US
02/02/13,6:00,Wards Domestic Vehicle Sales,SAARDTOT Index,Jan,12.08m,11.97m,11.90m,11.92m,19,1.29,0.14,US
02/04/13,22:45,ISM New York,NYPMCURR Index,Jan,56.7,54.3,53,52.98,4,2.39,1.57,US
02/04/13,23:00,Factory Orders,TMNOCHNG Index,Dec,1.80%,0.00%,2.30%,2.16%,63,-0.82,0.61,US
02/05/13,23:00,ISM Non-Manufacturing Index,NAPMNMI Index,Jan,55.2,56.1,55,55.17,76,0.24,0.84,US
02/05/13,23:00,IBD/TIPP Economic Optimism,ECONUSIB Index,Feb,47.3,46.5,47.3,47.59,10,0.02,3.04,US
02/06/13,20:00,MBA Mortgage Applications,MBAVCHNG Index,Feb-01,3.40%,-8.10%,--,--,0,--,--,US
02/07/13,21:30,Nonfarm Productivity,PRODNFR% Index,4Q P,-2.00%,2.90%,-1.40%,-1.32%,63,-0.86,0.7,US
02/07/13,21:30,Unit Labor Costs,COSTNFR% Index,4Q P,4.50%,-1.90%,3.00%,3.03%,59,1.55,0.97,US
02/07/13,21:30,Initial Jobless Claims,INJCJC Index,Feb-02,366k,368k,360k,359.17k,53,1.05,5.69,US
02/07/13,21:30,Continuing Claims,INJCSP Index,Jan-26,3224k,3197k,3197k,3196.50k,12,0.83,32.71,US
02/07/13,22:45,Bloomberg Consumer Comfort,COMFCOMF Index,Feb-03,-36.3,-37.5,--,--,1,--,--,US
02/08/13,4:00,Consumer Credit,CICRTOT Index,Dec,$14.595b,$16.045b,$14.000b,$13.59b,30,0.26,2.28,US
02/08/13,21:30,Trade Balance,USTBTOT Index,Dec,-$38.5b,-$48.7b,-$46.0b,-$45.83b,73,6.1,1.23,US
02/08/13,23:00,Wholesale Inventories MoM,MWINCHNG Index,Dec,-0.10%,0.60%,0.40%,0.43%,26,-4.69,0.11,US
02/12/13,20:30,NFIB Small Business Optimism,SBOITOTL Index,Jan,88.9,88,89,89.11,14,-0.12,0.82,US
02/12/13,23:00,JOLTS Job Openings,JOLTTOTL Index,Dec,3617,3676,3700,3720,3,-2.93,28.28,US
02/13/13,3:00,Monthly Budget Statement,FDDSSD Index,Jan,$2.9b,-$27.4b,-$2.0b,-$4.36b,27,0.75,6.48,US
02/13/13,20:00,MBA Mortgage Applications,MBAVCHNG Index,Feb-08,-6.40%,3.40%,--,--,0,--,--,US
02/13/13,21:30,Import Price Index MoM,IMP1CHNG Index,Jan,0.60%,-0.10%,0.80%,0.75%,42,-0.83,0.24,US
02/13/13,21:30,Import Price Index YoY,IMP1YOY% Index,Jan,-1.30%,-1.50%,-1.00%,-0.83%,8,-0.92,0.33,US
02/13/13,21:30,Retail Sales Advance MoM,RSTAMOM Index,Jan,0.10%,0.50%,0.10%,0.06%,80,0,0.25,US
02/13/13,21:30,Retail Sales Ex Auto MoM,RSTAXMOM Index,Jan,0.20%,0.30%,0.10%,0.09%,70,0.37,0.27,US
02/13/13,21:30,Retail Sales Ex Auto and Gas,RSTAXAG% Index,Jan,0.20%,0.60%,0.40%,0.33%,18,-0.68,0.22,US
02/13/13,21:30,Retail Sales Control Group,RSTAXAGM Index,Jan,0.10%,0.60%,0.30%,0.24%,22,-0.66,0.31,US
02/13/13,23:00,Business Inventories,MTIBCHNG Index,Dec,0.10%,0.30%,0.20%,0.18%,46,-0.75,0.13,US
02/14/13,21:30,Initial Jobless Claims,INJCJC Index,Feb-09,341k,366k,360k,361.14k,49,-3.83,4.97,US
02/14/13,21:30,Continuing Claims,INJCSP Index,Feb-02,3114k,3224k,3205k,3198.50k,14,-4.87,18.7,US
02/14/13,21:45,Bloomberg Feb. United States Economic Survey (Table),,,,,,,,,,US
02/14/13,22:45,Bloomberg Consumer Comfort,COMFCOMF Index,Feb-10,-35.9,-36.3,--,--,1,--,--,US
02/15/13,21:30,Empire Manufacturing,EMPRGBCI Index,Feb,10,-7.8,-2,-1.96,50,4.39,2.74,US
02/15/13,21:30,Revisions of Producer Price Index,,,,,,,,,,US
02/15/13,22:00,Total Net TIC Flows,FRNTTNET Index,Dec,$25.2b,$27.8b,--,--,2,--,--,US
02/15/13,22:00,Net Long-term TIC Flows,FRNTTOTL Index,Dec,$64.2b,$52.3b,$35.0b,$40.70b,5,2.38,12.29,US
02/15/13,22:15,Industrial Production MoM,IP CHNG Index,Jan,-0.10%,0.30%,0.20%,0.18%,81,-1.79,0.17,US
02/15/13,22:15,Capacity Utilization,CPTICHNG Index,Jan,79.10%,78.80%,78.90%,78.80%,65,0.34,0.59,US
02/15/13,22:15,Manufacturing (SIC) Production,IPMGCHNG Index,Jan,-0.40%,0.80%,0.00%,-0.02%,13,-1.61,0.25,US
02/15/13,22:55,U. of Mich. Sentiment,CONSSENT Index,Feb P,76.3,73.8,74.8,74.65,65,1.09,1.37,US
02/19/13,21:30,Revisions of Consumer Price Index,,,,,,,,,,US
02/19/13,23:00,NAHB Housing Market Index,USHBMIDX Index,Feb,46,47,48,48.12,50,-2.81,0.71,US
02/20/13,20:00,MBA Mortgage Applications,MBAVCHNG Index,Feb-15,-1.70%,-6.40%,--,--,0,--,--,US
02/20/13,21:30,Housing Starts,NHSPSTOT Index,Jan,890k,954k,920k,920.94k,85,-1.39,21.63,US
02/20/13,21:30,Housing Starts MoM,NHCHSTCH Index,Jan,-8.50%,12.10%,-3.60%,-3.47%,85,-2.18,2.27,US
02/20/13,21:30,Building Permits,NHSPATOT Index,Jan,925k,903k,920k,920.78k,58,0.27,18.52,US
02/20/13,21:30,Building Permits MoM,NHCHATCH Index,Jan,1.80%,0.30%,1.20%,1.30%,58,0.29,2.04,US
02/20/13,21:30,PPI MoM,PPI CHNG Index,Jan,0.20%,-0.20%,0.30%,0.35%,74,-0.46,0.22,US
02/20/13,21:30,PPI Ex Food and Energy MoM,PXFECHNG Index,Jan,0.20%,0.10%,0.20%,0.19%,67,0,0.09,US
02/20/13,21:30,PPI YoY,PPI YOY Index,Jan,1.40%,1.30%,1.50%,1.48%,27,-0.43,0.23,US
02/20/13,21:30,PPI Ex Food and Energy YoY,PPI XYOY Index,Jan,1.80%,2.00%,1.70%,1.68%,24,0.94,0.11,US
02/21/13,3:00,Fed Releases Minutes from Jan 29-30 FOMC Meeting,,,,,,,,,,US
02/21/13,3:00,FOMC Meeting Minutes,FEDMMINU Index,Jan-30,--,--,--,--,0,--,--,US
02/21/13,21:30,CPI MoM,CPI CHNG Index,Jan,0.00%,0.00%,0.10%,0.12%,84,-1.17,0.09,US
02/21/13,21:30,CPI Ex Food and Energy MoM,CPUPXCHG Index,Jan,0.30%,0.10%,0.20%,0.17%,82,2.2,0.05,US
02/21/13,21:30,CPI YoY,CPI YOY Index,Jan,1.60%,1.70%,1.60%,1.64%,41,0,0.1,US
02/21/13,21:30,CPI Ex Food and Energy YoY,CPI XYOY Index,Jan,1.90%,1.90%,1.80%,1.84%,42,2.06,0.05,US
02/21/13,21:30,CPI Core Index SA,CPUPAXFE Index,Jan,232.108,231.475,231.938,231.9,3,2.3,0.07,US
02/21/13,21:30,CPI Index NSA,CPURNSA Index,Jan,230.28,229.601,230.3,230.3,11,-0.17,0.12,US
02/21/13,21:30,Initial Jobless Claims,INJCJC Index,Feb-16,362k,341k,355k,353.94k,48,0.83,8.42,US
02/21/13,21:30,Continuing Claims,INJCSP Index,Feb-09,3148k,3114k,3150k,3154.83k,12,-0.09,23.52,US
02/21/13,21:58,Markit US Manufacturing PMI,MPMIUSMA Index,Feb P,--,--,55.5,55.48,17,--,0.66,US
02/21/13,22:45,Bloomberg Economic Expectations,COMFBTWR Index,Feb,-7,-7,--,--,0,--,--,US
02/21/13,22:45,Bloomberg Consumer Comfort,COMFCOMF Index,Feb-17,-33.4,-35.9,--,--,1,--,--,US
02/21/13,23:00,Mortgage Delinquencies,DLQTDLQT Index,4Q,7.09%,7.40%,--,--,0,--,--,US
02/21/13,23:00,MBA Mortgage Foreclosures,FORLTOTL Index,4Q,3.74%,4.07%,--,--,0,--,--,US
02/21/13,23:00,Existing Home Sales Revisions,,,,,,,,,,US
02/21/13,23:00,Philadelphia Fed Business Outlook,OUTFGAF Index,Feb,-12.5,-5.8,1,1.9,58,-4.53,2.98,US
02/21/13,23:00,Existing Home Sales,ETSLTOTL Index,Jan,4.92m,4.94m,4.90m,4.91m,79,0.25,0.08,US
02/21/13,23:00,Existing Home Sales MoM,ETSLMOM Index,Jan,0.40%,-1.00%,-0.80%,-0.62%,79,0.74,1.62,US
02/21/13,23:00,Leading Index,LEI CHNG Index,Jan,0.20%,0.50%,0.20%,0.26%,49,0,0.09,US
02/25/13,21:30,Chicago Fed Nat Activity Index,CFNAI Index,Jan,-0.32,0.02,--,--,2,--,--,US
02/25/13,23:30,Dallas Fed Manf. Activity,DFEDGBA Index,Feb,2.2,5.5,3.5,4.05,6,-1.09,1.19,US
02/26/13,22:00,S&P CoreLogic CS 20-City MoM SA,SPCS20SM Index,Dec,0.88%,0.63%,0.65%,0.63%,26,1.02,0.23,US
02/26/13,22:00,S&P CoreLogic CS 20-City YoY NSA,SPCS20Y% Index,Dec,6.84%,5.52%,6.62%,6.64%,30,0.76,0.29,US
02/26/13,22:00,S&P CoreLogic CS 20-City NSA Index,SPCS20 Index,Dec,145.95,145.82,145.82,145.71,3,0.44,0.3,US
02/26/13,22:00,S&P CoreLogic CS US HPI YoY NSA,SPCSUSAY Index,Dec,7.33%,3.64%,7.00%,6.97%,3,2.65,0.12,US
02/26/13,22:00,S&P CoreLogic CS US HPI NSA Index,SPCSUSA Index,Dec,135.22,135.67,--,--,2,--,--,US
02/26/13,22:00,FHFA House Price Index MoM,HPIMMOM% Index,Dec,0.60%,0.60%,0.60%,0.62%,18,0,0.23,US
02/26/13,22:00,House Price Purchase Index QoQ,HPI PURQ Index,4Q,1.40%,1.10%,--,--,2,--,--,US
02/26/13,23:00,Richmond Fed Manufact. Index,RCHSINDX Index,Feb,6,-12,-4,-3.22,9,3.5,2.86,US
02/26/13,23:00,Conf. Board Consumer Confidence,CONCCONF Index,Feb,69.6,58.6,62,61.6,76,4.13,1.84,US
02/26/13,23:00,New Home Sales,NHSLTOT Index,Jan,437k,369k,380k,381.81k,72,5.94,9.6,US
02/26/13,23:00,New Home Sales MoM,NHSLCHNG Index,Jan,15.60%,-7.30%,3.00%,3.47%,72,4.85,2.6,US
02/27/13,20:00,MBA Mortgage Applications,MBAVCHNG Index,Feb-22,-3.80%,-1.70%,--,--,0,--,--,US
02/27/13,21:30,Durable Goods Orders,DGNOCHNG Index,Jan,-5.20%,4.60%,-4.80%,-4.44%,78,-0.24,1.87,US
02/27/13,21:30,Durables Ex Transportation,DGNOXTCH Index,Jan,1.90%,1.30%,0.20%,-0.14%,54,2.12,0.8,US
02/27/13,21:30,Cap Goods Orders Nondef Ex Air,CGNOXAI% Index,Jan,6.30%,0.20%,0.00%,-0.22%,13,6.92,0.91,US
02/27/13,21:30,Cap Goods Ship Nondef Ex Air,CGSHXAI% Index,Jan,-1.00%,0.30%,-1.30%,-1.17%,6,0.31,0.8,US
02/27/13,23:00,Pending Home Sales MoM,USPHTMOM Index,Jan,4.50%,-4.30%,1.90%,2.05%,38,1.72,1.54,US
02/27/13,23:00,Pending Home Sales NSA YoY,USPHTYOY Index,Jan,10.40%,4.90%,8.20%,8.50%,6,1.18,1.9,US
02/28/13,21:30,GDP Annualized QoQ,GDP CQOQ Index,4Q S,0.10%,-0.10%,0.50%,0.49%,83,-2.25,0.18,US
02/28/13,21:30,Personal Consumption,GDPCTOT% Index,4Q S,2.10%,2.20%,2.30%,2.30%,19,-1.78,0.11,US
02/28/13,21:30,GDP Price Index,GDP PIQQ Index,4Q S,0.90%,0.60%,0.60%,0.60%,32,7.61,0.04,US
02/28/13,21:30,Core PCE QoQ,GDPCPCEC Index,4Q S,0.90%,0.90%,0.90%,0.90%,14,--,0,US
02/28/13,21:30,Initial Jobless Claims,INJCJC Index,Feb-23,344k,362k,360k,360.98k,44,-2.3,6.97,US
02/28/13,21:30,Continuing Claims,INJCSP Index,Feb-16,3074k,3148k,3143k,3142.50k,12,-2.91,23.54,US
02/28/13,22:00,ISM Milwaukee,MAPMINDX Index,Feb,56.48,51.3,52,52.18,4,9.11,0.49,US
02/28/13,22:45,MNI Chicago PMI,CHPMINDX Index,Feb,56.8,55.6,54,54.31,51,2.47,1.14,US
02/28/13,22:45,Bloomberg Consumer Comfort,COMFCOMF Index,Feb-24,-32.8,-33.4,--,--,0,--,--,US
03/01/13,0:00,Kansas City Fed Manf. Activity,KCLSSACI Index,Feb,-10,-2,-1,-1,4,-9,1,US
03/01/13,21:30,Personal Income,PITLCHNG Index,Jan,-3.60%,2.60%,-2.40%,-2.42%,76,-2.07,0.6,US
03/01/13,21:30,Personal Spending,PCE CRCH Index,Jan,0.20%,0.20%,0.20%,0.18%,76,0,0.09,US
03/01/13,21:30,PCE Deflator MoM,PCE DEFM Index,Jan,0.00%,0.00%,0.10%,0.07%,29,-1.93,0.05,US
03/01/13,21:30,PCE Deflator YoY,PCE DEFY Index,Jan,1.20%,1.30%,1.20%,1.19%,19,0,0.09,US
03/01/13,21:30,PCE Core Deflator MoM,PCE CMOM Index,Jan,0.10%,0.00%,0.20%,0.18%,49,-1.6,0.06,US
03/01/13,21:30,PCE Core Deflator YoY,PCE CYOY Index,Jan,1.30%,1.40%,1.30%,1.31%,27,0,0.07,US
03/01/13,21:58,Markit US Manufacturing PMI,MPMIUSMA Index,Feb F,--,--,55.2,55.43,6,--,0.71,US
03/01/13,22:55,U. of Mich. Sentiment,CONSSENT Index,Feb F,77.6,76.3,76.3,76.41,58,1.87,0.7,US
03/01/13,23:00,Construction Spending MoM,CNSTTMOM Index,Jan,-2.10%,0.90%,0.40%,0.46%,45,-7.9,0.32,US
03/01/13,23:00,ISM Manufacturing,NAPMPMI Index,Feb,54.2,53.1,52.5,52.5,81,2.38,0.72,US
03/01/13,23:00,ISM Prices Paid,NAPMPRIC Index,Feb,61.5,56.5,57,57.25,15,4.47,1.01,US
03/02/13,5:17,Wards Total Vehicle Sales,SAARTOTL Index,Feb,15.33m,15.23m,15.10m,15.16m,45,1.4,0.16,US
03/02/13,5:17,Wards Domestic Vehicle Sales,SAARDTOT Index,Feb,11.99m,12.08m,12.00m,11.93m,19,-0.04,0.24,US
03/04/13,22:45,ISM New York,NYPMCURR Index,Feb,58.8,56.7,--,--,1,--,--,US
03/05/13,23:00,ISM Non-Manufacturing Index,NAPMNMI Index,Feb,56,55.2,55,54.9,73,1.05,0.95,US
03/05/13,23:00,IBD/TIPP Economic Optimism,ECONUSIB Index,Mar,42.2,47.3,47.2,47.63,9,-3.05,1.64,US
03/06/13,20:00,MBA Mortgage Applications,MBAVCHNG Index,Mar-01,14.80%,-3.80%,--,--,0,--,--,US
03/06/13,21:15,ADP Employment Change,ADP CHNG Index,Feb,198k,192k,170k,167.44k,41,1.65,17,US
03/06/13,23:00,Factory Orders,TMNOCHNG Index,Jan,-2.00%,1.80%,-2.20%,-2.23%,63,0.38,0.53,US
03/06/13-03/07/13,,Revisions to the ADP National Employment Report,,,,,,,,,,US
03/07/13,3:00,U.S. Fed Beige Book Release,,,,,,,,,,US
03/07/13,20:30,Challenger Job Cuts YoY,CHALYOY% Index,Feb,7.00%,-24.40%,--,--,0,--,--,US
03/07/13,20:30,RBC Consumer Outlook Index,ICSHNATL Index,Mar,47.1,49.5,--,--,0,--,--,US
03/07/13,21:30,Trade Balance,USTBTOT Index,Jan,-$44.4b,-$38.5b,-$42.6b,-$42.35b,73,-1.21,1.49,US
03/07/13,21:30,Revisions to the Annual Productivity and Costs Report,,,,,,,,,,US
03/07/13,21:30,Nonfarm Productivity,PRODNFR% Index,4Q F,-1.90%,-2.00%,-1.60%,-1.61%,57,-1.95,0.15,US
03/07/13,21:30,Unit Labor Costs,COSTNFR% Index,4Q F,4.60%,4.50%,4.30%,4.23%,51,0.94,0.32,US
03/07/13,21:30,Initial Jobless Claims,INJCJC Index,Mar-02,340k,344k,355k,352.12k,50,-2.12,7.06,US
03/07/13,21:30,Continuing Claims,INJCSP Index,Feb-23,3094k,3074k,3120k,3104.73k,11,-0.79,32.94,US
03/07/13,22:45,Bloomberg Consumer Comfort,COMFCOMF Index,Mar-03,-32.4,-32.8,--,--,0,--,--,US
03/08/13,1:00,Household Change in Net Worth,NWORCHNG Index,4Q,$1174b,$1722b,--,--,0,--,--,US
03/08/13,4:00,Consumer Credit,CICRTOT Index,Jan,$16.151b,$14.595b,$14.700b,$14.18b,27,0.62,2.36,US
03/08/13,21:30,Change in Nonfarm Payrolls,NFP TCH Index,Feb,236k,157k,165k,166.09k,90,3.04,23.37,US
03/08/13,21:30,Change in Private Payrolls,NFP PCH Index,Feb,246k,166k,170k,175.04k,55,3.34,22.78,US
03/08/13,21:30,Change in Manufact. Payrolls,USMMMNCH Index,Feb,14k,4k,9k,7.92k,26,1.39,3.95,US
03/08/13,21:30,Unemployment Rate,USURTOT Index,Feb,7.70%,7.90%,7.90%,7.85%,85,-3.31,0.06,US
03/08/13,21:30,Average Hourly Earnings MoM,AHE MOM% Index,Feb,0.20%,0.20%,0.20%,0.18%,54,0,0.05,US
03/08/13,21:30,Average Hourly Earnings YoY,AHE YOY% Index,Feb,2.10%,2.10%,2.10%,2.11%,11,0,0.08,US
